sep=;
Reference; Value; Footprint; Datasheet; Manufacturer; MPN; SKU; Res; Tol; Pwr; C; Vmax; Type
R23;RC0603FR-0766K5L;Main:RESC0603;;Yageo;RC0603FR-0766K5L;STUFF;66.5 kΩ;±1%;100 mW;;;
R27;RC0603FR-072K21L;Main:RESC0603;;Yageo;RC0603FR-072K21L;STUFF;2.21 kΩ;±1%;100 mW;;;
R38;RC0603FR-072K21L;Main:RESC0603;;Yageo;RC0603FR-072K21L;STUFF;2.21 kΩ;±1%;100 mW;;;
R24;RC0603FR-0711KL;Main:RESC0603;;Yageo;RC0603FR-0711KL;STUFF;11.0 kΩ;±1%;100 mW;;;
R25;RC0603FR-076K49L;Main:RESC0603;;Yageo;RC0603FR-076K49L;STUFF;6.49 kΩ;±1%;100 mW;;;
R35;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;STUFF;7.50 Ω;±1%;100 mW;;;
R37;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;STUFF;7.50 Ω;±1%;100 mW;;;
R32;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;STUFF;7.50 Ω;±1%;100 mW;;;
R33;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;STUFF;7.50 Ω;±1%;100 mW;;;
R34;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;STUFF;7.50 Ω;±1%;100 mW;;;
R36;RC0603FR-077R5L;Main:RESC0603;;Yageo;RC0603FR-077R5L;STUFF;7.50 Ω;±1%;100 mW;;;
R26;RC0603FR-0766K5L;Main:RESC0603;;Yageo;RC0603FR-0766K5L;STUFF;66.5 kΩ;±1%;100 mW;;;
R19;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
Q6;Q_PNP_BEC;Main:SOT190P290X130X100-3;;ON Semiconductor;MMBT4403LT3G;STUFF;;;;;;
Q5;Q_PNP_BEC;Main:SOT190P290X130X100-3;;ON Semiconductor;MMBT4403LT3G;STUFF;;;;;;
R7;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;10.0 kΩ;±1%;100 mW;;;
